region,total,male,female
서울시,30.1,24.8,33
 종로구,35.1, ,24.9
 중구,20.3,13.4,23.8
 용산구,45.1, ,41.2
 성동구,28.3,10.5,35.5
 광진구,28.9,24.6,33.3
 동대문구,16.7, ,19.1
 중랑구,25.2, ,23
 성북구,20.3,14.9,24.2
 강북구,20.9, ,16.4
 도봉구,32.7,23.2,39.6
 노원구,31.5,35.7,29.1
 은평구,35.7,32.7,38.1
 서대문구,34.1,33,34.9
 마포구,44.8, ,46.5
 양천구,31, ,35.7
 강서구,26.9,12,35
 구로구,21.7, ,27.8
 금천구,31.4,19.7,39.7
 영등포구,27.6,25.1,29.6
 동작구,24.3, ,27.3
 관악구,37.8, ,42
 서초구,41.4, ,50.3
 강남구,38.4,38.2,38.5
 송파구,20.9,16,23.2
 강동구,37.3, ,44