"연도","variable","등록정신장애인","등록정신장애인_비율"
" 종로구",2012,"274",3.96
" 종로구",2013,"254",3.8
" 종로구",2014,"254",4
" 종로구",2015,"260",4.2
" 종로구",2016,"261",4.3
" 종로구",2017,"263",4.3
" 종로구",2018,"260",4.3
" 종로구",2019,"271",4.46
" 종로구",2020,"258",4.29
" 종로구",2021,"262",4.4
" 중구",2012,"211",3.35
" 중구",2013,"218",3.6
" 중구",2014,"227",3.8
" 중구",2015,"235",4.1
" 중구",2016,"232",4.1
" 중구",2017,"234",4.1
" 중구",2018,"218",3.9
" 중구",2019,"220",3.85
" 중구",2020,"218",3.82
" 중구",2021,"207",3.7
" 용산구",2012,"312",3.38
" 용산구",2013,"302",3.4
" 용산구",2014,"305",3.5
" 용산구",2015,"301",3.6
" 용산구",2016,"303",3.7
" 용산구",2017,"297",3.7
" 용산구",2018,"291",3.6
" 용산구",2019,"298",3.71
" 용산구",2020,"292",3.67
" 용산구",2021,"282",3.7
" 성동구",2012,"408",3.32
" 성동구",2013,"412",3.4
" 성동구",2014,"417",3.5
" 성동구",2015,"427",3.6
" 성동구",2016,"439",3.8
" 성동구",2017,"456",3.9
" 성동구",2018,"449",3.8
" 성동구",2019,"436",3.73
" 성동구",2020,"423",3.71
" 성동구",2021,"407",3.6
" 광진구",2012,"487",3.69
" 광진구",2013,"493",3.8
" 광진구",2014,"491",3.9
" 광진구",2015,"514",4.1
" 광진구",2016,"515",4.2
" 광진구",2017,"521",4.2
" 광진구",2018,"536",4.3
" 광진구",2019,"521",4.14
" 광진구",2020,"513",4.15
" 광진구",2021,"530",4.3
" 동대문구",2012,"594",3.58
" 동대문구",2013,"613",3.7
" 동대문구",2014,"634",3.9
" 동대문구",2015,"633",4
" 동대문구",2016,"648",4.1
" 동대문구",2017,"646",4.1
" 동대문구",2018,"653",4.1
" 동대문구",2019,"634",3.99
" 동대문구",2020,"638",4.06
" 동대문구",2021,"633",4.1
" 중랑구",2012,"842",4.09
" 중랑구",2013,"823",4
" 중랑구",2014,"835",4.1
" 중랑구",2015,"812",4.1
" 중랑구",2016,"828",4.2
" 중랑구",2017,"856",4.3
" 중랑구",2018,"860",4.3
" 중랑구",2019,"868",4.26
" 중랑구",2020,"857",4.2
" 중랑구",2021,"856",4.2
" 성북구",2012,"672",3.44
" 성북구",2013,"673",3.5
" 성북구",2014,"660",3.5
" 성북구",2015,"639",3.5
" 성북구",2016,"638",3.6
" 성북구",2017,"640",3.7
" 성북구",2018,"634",3.6
" 성북구",2019,"654",3.69
" 성북구",2020,"647",3.7
" 성북구",2021,"647",3.7
" 강북구",2012,"650",3.68
" 강북구",2013,"674",3.9
" 강북구",2014,"668",3.8
" 강북구",2015,"690",4
" 강북구",2016,"718",4.1
" 강북구",2017,"715",4.1
" 강북구",2018,"725",4.1
" 강북구",2019,"731",4.17
" 강북구",2020,"740",4.24
" 강북구",2021,"747",4.3
" 도봉구",2012,"526",3.51
" 도봉구",2013,"540",3.6
" 도봉구",2014,"565",3.8
" 도봉구",2015,"605",4.1
" 도봉구",2016,"608",4
" 도봉구",2017,"613",4
" 도봉구",2018,"603",3.9
" 도봉구",2019,"625",4.04
" 도봉구",2020,"647",4.19
" 도봉구",2021,"668",4.4
" 노원구",2012,"1,309",4.62
" 노원구",2013,"1,351",4.8
" 노원구",2014,"1,388",5
" 노원구",2015,"1,434",5.2
" 노원구",2016,"1,453",5.3
" 노원구",2017,"1,481",5.4
" 노원구",2018,"1,495",5.5
" 노원구",2019,"1,464",5.35
" 노원구",2020,"1,496",5.48
" 노원구",2021,"1,477",5.5
" 은평구",2012,"1,156",5.27
" 은평구",2013,"1,134",5.2
" 은평구",2014,"1,126",5.2
" 은평구",2015,"1,104",5.2
" 은평구",2016,"1,119",5.2
" 은평구",2017,"1,128",5.3
" 은평구",2018,"1,125",5.2
" 은평구",2019,"1,150",5.31
" 은평구",2020,"1,162",5.34
" 은평구",2021,"1,167",5.4
" 서대문구",2012,"501",3.88
" 서대문구",2013,"515",4
" 서대문구",2014,"519",4.1
" 서대문구",2015,"539",4.3
" 서대문구",2016,"514",4.1
" 서대문구",2017,"530",4.2
" 서대문구",2018,"525",4.2
" 서대문구",2019,"513",4.06
" 서대문구",2020,"530",4.22
" 서대문구",2021,"517",4.2
" 마포구",2012,"523",3.59
" 마포구",2013,"520",3.6
" 마포구",2014,"522",3.7
" 마포구",2015,"516",3.7
" 마포구",2016,"500",3.7
" 마포구",2017,"493",3.7
" 마포구",2018,"501",3.8
" 마포구",2019,"496",3.78
" 마포구",2020,"505",3.9
" 마포구",2021,"513",4
" 양천구",2012,"585",3.23
" 양천구",2013,"594",3.3
" 양천구",2014,"583",3.3
" 양천구",2015,"593",3.4
" 양천구",2016,"604",3.5
" 양천구",2017,"606",3.5
" 양천구",2018,"621",3.6
" 양천구",2019,"616",3.52
" 양천구",2020,"615",3.5
" 양천구",2021,"624",3.6
" 강서구",2012,"1,453",5.28
" 강서구",2013,"1,490",5.4
" 강서구",2014,"1,528",5.5
" 강서구",2015,"1,572",5.6
" 강서구",2016,"1,607",5.7
" 강서구",2017,"1,627",5.7
" 강서구",2018,"1,611",5.6
" 강서구",2019,"1,589",5.5
" 강서구",2020,"1,598",5.56
" 강서구",2021,"1,614",5.7
" 구로구",2012,"558",3.13
" 구로구",2013,"567",3.2
" 구로구",2014,"585",3.3
" 구로구",2015,"561",3.2
" 구로구",2016,"561",3.3
" 구로구",2017,"568",3.3
" 구로구",2018,"597",3.4
" 구로구",2019,"635",3.5
" 구로구",2020,"648",3.54
" 구로구",2021,"651",3.5
" 금천구",2012,"387",3.45
" 금천구",2013,"390",3.5
" 금천구",2014,"389",3.5
" 금천구",2015,"396",3.6
" 금천구",2016,"401",3.7
" 금천구",2017,"412",3.7
" 금천구",2018,"411",3.7
" 금천구",2019,"438",3.85
" 금천구",2020,"431",3.78
" 금천구",2021,"433",3.8
" 영등포구",2012,"460",2.86
" 영등포구",2013,"476",3
" 영등포구",2014,"450",3
" 영등포구",2015,"447",3
" 영등포구",2016,"451",3.1
" 영등포구",2017,"445",3.1
" 영등포구",2018,"443",3.1
" 영등포구",2019,"447",3.1
" 영등포구",2020,"457",3.14
" 영등포구",2021,"474",3.3
" 동작구",2012,"496",3.21
" 동작구",2013,"499",3.3
" 동작구",2014,"502",3.3
" 동작구",2015,"519",3.6
" 동작구",2016,"526",3.6
" 동작구",2017,"522",3.6
" 동작구",2018,"517",3.5
" 동작구",2019,"521",3.53
" 동작구",2020,"526",3.6
" 동작구",2021,"523",3.6
" 관악구",2012,"820",3.9
" 관악구",2013,"817",3.9
" 관악구",2014,"816",4
" 관악구",2015,"828",4.1
" 관악구",2016,"856",4.2
" 관악구",2017,"856",4.3
" 관악구",2018,"871",4.3
" 관악구",2019,"851",4.19
" 관악구",2020,"863",4.26
" 관악구",2021,"883",4.4
" 서초구",2012,"323",3.01
" 서초구",2013,"345",3.2
" 서초구",2014,"336",3.1
" 서초구",2015,"338",3.1
" 서초구",2016,"340",3.1
" 서초구",2017,"337",3.1
" 서초구",2018,"350",3.3
" 서초구",2019,"365",3.45
" 서초구",2020,"358",3.4
" 서초구",2021,"347",3.4
" 강남구",2012,"712",4.55
" 강남구",2013,"733",4.7
" 강남구",2014,"787",4.9
" 강남구",2015,"808",5.1
" 강남구",2016,"839",5.3
" 강남구",2017,"877",5.6
" 강남구",2018,"857",5.6
" 강남구",2019,"845",5.47
" 강남구",2020,"834",5.49
" 강남구",2021,"840",5.5
" 송파구",2012,"580",2.81
" 송파구",2013,"570",2.8
" 송파구",2014,"592",3
" 송파구",2015,"598",3.1
" 송파구",2016,"617",3.2
" 송파구",2017,"635",3.2
" 송파구",2018,"646",3.2
" 송파구",2019,"653",3.21
" 송파구",2020,"631",3.11
" 송파구",2021,"658",3.2
" 강동구",2012,"537",2.87
" 강동구",2013,"534",2.9
" 강동구",2014,"549",3
" 강동구",2015,"574",3.2
" 강동구",2016,"561",3.2
" 강동구",2017,"568",3.3
" 강동구",2018,"566",3.3
" 강동구",2019,"594",3.36
" 강동구",2020,"638",3.49
" 강동구",2021,"640",3.4
